make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days,trips/day,rate/day,price/rate/day
MINI,Cooper,2011,53,5,2,2,3/6/15,Fort Lee,NJ,9.279389381,16231.83333,72,0.027777778,1.472222222,11025.39623
Dodge,Challenger,2014,99,5,3,4,12/7/14,Elizabeth ,NJ,8.743715286,27951.75,161,0.02484472,2.459627329,11364.22159
Lexus,IS 250,2006,117,None,0,1,2/8/15,Secaucus,NJ,4.781601429,13572.66667,98,0.010204082,1.193877551,11368.5584
Mercedes-Benz,C-Class,2010,100,None,0,1,3/24/15,Belleville,NJ,6.430636883,21859.66667,54,0.018518519,1.851851852,11804.22
GMC,Yukon,2008,95,5,1,1,3/17/15,Hoboken,NJ,2.281511545,19898.33333,61,0.016393443,1.557377049,12776.82456
Dodge,Grand Caravan,2014,71,5,2,3,12/2/14,EAST HANOVER,NJ,17.58195114,16961.66667,166,0.018072289,1.28313253,13218.95149
GMC,Yukon,2008,90,5,1,1,3/17/15,Newark,NJ,5.865699768,19898.33333,61,0.016393443,1.475409836,13486.64815
Chevrolet,Cruze,2014,45,5,5,9,4/2/14,Morristown,NJ,23.01052284,14321.3,410,0.02195122,0.987804878,14498.10617
Volkswagen,Beetle Convertible,2013,72,5,1,5,7/31/14,Jersey City,NJ,0.75406301,19381.37838,290,0.017241379,1.24137931,15612.77703
Honda,Accord,2007,65,5,2,5,1/11/14,Nutley,NJ,6.798878193,11033.15152,491,0.010183299,0.66191446,16668.54583
Toyota,Camry Hybrid,2007,59,5,2,3,8/18/14,Berkeley Heights,NJ,19.38471222,11707,272,0.011029412,0.650735294,17990.41808
Audi,TT,2009,70,5,4,6,4/15/14,Newark,NJ,4.923172474,20672.125,397,0.01511335,1.057934509,19540.08006
Porsche,Cayenne,2004,89,None,0,2,8/18/14,Berkeley Heights,NJ,19.29058266,14614,272,0.007352941,0.654411765,22331.50562
Audi,Q5,2012,99,5,2,2,11/22/14,Hoboken,NJ,2.747887135,28151,176,0.011363636,1.125,25023.11111
Lexus,GS 350,2014,125,5,1,1,2/12/15,Millburn,NJ,12.05849457,35876,94,0.010638298,1.329787234,26978.752
Volkswagen,Jetta,2012,65,None,0,1,1/1/15,Union,NJ,10.16774368,14833.2,136,0.007352941,0.477941176,31035.61846
