make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
Subaru,BRZ,2013,155.0,5,2,2,2014-06-23 17:57:33,north bergen,NJ,6.27691268921,20060.0,349,0.00573065902579,0.888252148997,22583.6774194
Dodge,Challenger,2014,50.0,4.8333,6,11,2014-11-17 17:19:09,Elizabeth,NJ,8.78757667542,28204.75,202,0.0544554455446,2.72277227723,10358.8354545
Chrysler,Pacifica,2004,39.0,None,0,2,2015-05-09 11:47:42,Hackensack,NJ,10.3926506042,6153.5,29,0.0689655172414,2.68965517241,2287.83974359
Cadillac,DTS,2007,39.0,4.5,6,8,2015-03-30 11:31:25,Hackensack,NJ,10.4459247589,12976.0,69,0.115942028986,4.52173913043,2869.69230769
Lincoln,Town Car,2005,45.0,None,0,1,2015-05-30 17:46:03,Hackensack,NJ,10.4469861984,9551.66666667,8,0.125,5.625,1698.07407407
Chevrolet,Malibu,2008,39.0,5,2,3,2015-04-30 20:59:04,Hackensack,NJ,10.5539035797,10411.0,37,0.0810810810811,3.16216216216,3292.36752137
Volvo,S80,2005,33.0,5,1,3,2015-04-09 21:51:28,Hackensack,NJ,10.4041404724,7145.5,58,0.051724137931,1.70689655172,4186.25252525
Lexus,ES 300,2003,38.0,None,0,0,2015-03-26 22:52:27,bogota,NJ,10.805357933,8554.0,72,0.0,0.0,None
Volvo,V40,2004,29.0,4.5,2,7,2015-05-12 13:23:59,Hackensack,NJ,10.3959159851,6064.0,26,0.269230769231,7.80769230769,776.669950739
Toyota,RAV4,2013,80.0,None,0,0,2015-05-29 06:34:35,Newark,NJ,4.34359264374,21887.1666667,9,0.0,0.0,None
Mazda,MAZDA3,2012,45.0,4.9091,11,20,2014-11-14 15:25:28,Elizabeth,NJ,8.83077430725,None,205,0.0975609756098,4.39024390244,None
Toyota,Camry,2004,33.0,5,6,9,2015-04-15 21:19:08,Hackensack,NJ,10.412735939,6984.0,52,0.173076923077,5.71153846154,1222.78787879
Volvo,S60,2005,29.0,5,1,6,2015-04-03 19:43:01,Hackensack,NJ,10.4658660889,7010.8,64,0.09375,2.71875,2578.68505747
Cadillac,SRX,2005,49.0,None,0,1,2015-05-30 17:28:35,Hackensack,NJ,10.4841585159,9528.5,8,0.125,6.125,1555.67346939
Honda,Odyssey,2007,49.0,4.5,4,9,2015-01-30 20:31:30,Bogota,NJ,10.7313365936,12971.0,127,0.0708661417323,3.47244094488,3735.41269841
Mercedes-Benz,E-Class,2003,37.0,4.8333,6,12,2015-01-03 21:19:09,hackensack,NJ,10.5239086151,9214.2,154,0.0779220779221,2.88311688312,3195.91621622
Land Rover,Range Rover,2006,85.0,5,5,9,2015-03-09 17:20:19,Bogota,NJ,10.722161293,17620.5,90,0.1,8.5,2073.0
Chevrolet,Malibu,2008,39.0,4.6,10,22,2015-01-02 19:36:04,bogota,NJ,10.6768503189,10411.0,155,0.141935483871,5.53548387097,1880.77505828
Ford,F-150,2002,38.0,4.9048,21,49,2013-07-01 14:13:24,South Orange,NJ,9.19553279877,6303.625,706,0.0694050991501,2.63739376771,2390.09626745
Ford,Mustang,2005,49.0,None,0,1,2015-05-26 19:20:19,bogota,NJ,10.7723140717,11064.875,11,0.0909090909091,4.45454545455,2483.95153061
Volkswagen,Passat,2012,49.0,None,0,0,2015-05-29 00:55:44,North Arlington,NJ,5.012550354,16974.4347826,9,0.0,0.0,None
Audi,S5,2010,199.0,5,6,7,2014-05-07 10:58:49,Ridgefield Park,NJ,8.4035615921,30513.3333333,396,0.0176767676768,3.51767676768,8674.28571429
Volkswagen,Jetta,2013,60.0,5,2,10,2014-11-06 21:52:51,Edgewater,NJ,8.13841629028,14553.6111111,212,0.0471698113208,2.83018867925,5142.27592593
Land Rover,Range Rover,2006,128.0,None,0,0,2015-03-21 10:00:51,Newark,NJ,5.85914468765,17620.5,78,0.0,0.0,None
GMC,Yukon,2008,90.0,5,1,1,2015-03-17 15:00:40,Newark,NJ,5.86569976807,19768.8333333,82,0.0121951219512,1.09756097561,18011.6037037
BMW,3 Series,2013,99.0,None,0,0,2015-06-02 19:12:57,west new york,NJ,5.39428329468,28445.9333333,4,0.0,0.0,None
Mercedes-Benz,M-Class,2012,148.0,None,0,0,2015-04-15 19:21:47,Lyndhurst,NJ,5.98483371735,43979.25,52,0.0,0.0,None
Toyota,Highlander,2014,150.0,None,0,0,2015-04-14 22:03:17,East Orange,NJ,7.25223445892,31509.2727273,53,0.0,0.0,None
Kia,Sportage,2012,65.0,None,0,0,2015-05-31 22:20:17,Newark,NJ,4.70459699631,17673.0,6,0.0,0.0,None
BMW,X6,2013,273.0,None,0,0,2015-01-06 15:23:44,Ridgefield Park,NJ,8.48224067688,42348.5,152,0.0,0.0,None
Acura,TSX,2010,50.0,5,1,2,2014-02-28 19:59:32,Rutherford,NJ,6.30679178238,18966.1666667,463,0.00431965442765,0.215982721382,87813.3516667
Maserati,Ghibli,2015,399.0,None,0,0,2015-02-23 12:23:42,East Rutherford,NJ,7.37290525436,56484.0,104,0.0,0.0,None
MINI,Cooper,2011,73.0,5,3,5,2015-03-06 16:43:05,Fort Lee,NJ,9.27938938141,16290.3333333,93,0.0537634408602,3.9247311828,4150.68767123
Buick,LaCrosse,2013,76.0,4.2857,7,18,2014-07-21 16:26:34,Fort Lee,NJ,10.5369243622,21748.4285714,321,0.0560747663551,4.26168224299,5103.24968672
MINI,Cooper,2013,48.0,5,1,2,2015-02-19 17:33:21,Verona,NJ,11.4343366623,18361.1666667,108,0.0185185185185,0.888888888889,20656.3125
Buick,LaCrosse,2011,95.0,None,0,0,2015-06-05 20:47:20,Bayonne,NJ,5.54996919632,17030.5,1,0.0,0.0,None
Dodge,Charger,2014,75.0,None,0,0,2015-05-14 08:41:14,Irvington,NJ,8.19580841064,25099.7142857,24,0.0,0.0,None
Honda,Accord,2008,39.0,None,0,0,2015-05-25 18:34:26,Avenel,NJ,14.4107627869,13194.84,13,0.0,0.0,None
Jeep,Liberty,2012,60.0,None,0,0,2015-05-28 14:38:10,Belleville,NJ,5.83968925476,18060.0,10,0.0,0.0,None
Mazda,MAZDA3,2012,25.0,5,5,5,2015-04-15 13:33:51,Hillside,NJ,7.6760134697,None,53,0.0943396226415,2.35849056604,None
