make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
GMC,Yukon,2008,95.0,5,2,2,2015-03-17 16:24:16,Hoboken,NJ,2.28151154518,19898.3333333,71,0.0281690140845,2.67605633803,7435.69298246
Infiniti,M37,2011,75.0,5,17,22,2014-10-23 20:55:32,East Orange,NJ,7.59154129028,25599.5,216,0.101851851852,7.63888888889,3351.20727273
Honda,Civic,2011,40.0,None,0,1,2014-12-23 01:09:21,Bloomfield,NJ,8.89205646515,14606.3030303,155,0.00645161290323,0.258064516129,56599.4242424
Toyota,Prius c,2013,39.0,4,1,1,2015-04-12 09:01:59,Lyndhurst,NJ,5.96666240692,16033.25,45,0.0222222222222,0.866666666667,18499.9038462
Honda,Civic,2011,59.0,5,5,8,2015-01-06 09:21:51,West New York,NJ,4.95724105835,14606.3030303,141,0.0567375886525,3.3475177305,4363.32357473
Ford,Focus,2013,45.0,5,11,12,2015-04-08 14:42:35,West Orange,NJ,9.08119297028,13863.0,49,0.244897959184,11.0204081633,1257.93888889
Volkswagen,Jetta,2012,60.0,None,0,0,2015-05-27 11:46:16,West Orange,NJ,9.148188591,14833.2,0,None,None,None
Honda,CR-V,2010,47.0,None,0,0,2015-05-01 14:16:15,Jersey City,NJ,1.55701041222,18939.875,26,0.0,0.0,None
Dodge,Challenger,2012,75.0,5,19,29,2013-06-16 13:05:54,East Orange,NJ,7.62854862213,24976.6666667,710,0.0408450704225,3.06338028169,8153.30268199
Nissan,Sentra,2011,89.0,None,0,1,2014-07-06 21:24:50,Jersey City,NJ,2.06577539444,12713.2857143,325,0.00307692307692,0.273846153846,46424.9197432
Ford,Fusion,2014,70.0,5,9,10,2015-03-28 17:41:13,Fort Lee,NJ,9.30994033813,18459.0,60,0.166666666667,11.6666666667,1582.2
Hyundai,Sonata,2014,90.0,None,0,0,2015-02-10 16:41:02,Newark,NJ,6.72266435623,17546.625,106,0.0,0.0,None
Mercedes-Benz,E-Class,2012,269.0,5,12,23,2013-07-23 23:38:40,Union,NJ,8.97252082825,35073.875,673,0.0341753343239,9.19316493314,3815.21219897
Honda,Civic,2006,75.0,4.6667,3,3,2015-01-18 19:03:23,Newark,NJ,6.7593421936,9318.65217391,129,0.0232558139535,1.74418604651,5342.69391304
Toyota,Sienna,2013,82.0,5,4,7,2015-01-13 22:55:32,Cliffside Park,NJ,7.33309745789,24886.5833333,134,0.0522388059701,4.28358208955,5809.75987224
Audi,Q7,2008,84.0,None,0,0,2015-05-27 15:48:56,Jersey city ,NJ,1.92259132862,19905.0,0,None,None,None
Hyundai,Genesis,2015,199.0,None,0,0,2015-03-31 12:33:49,Hoboken,NJ,2.43158221245,35066.0,57,0.0,0.0,None
Ford,Escape,2011,55.0,5,1,1,2015-05-19 11:51:09,Weehawken,NJ,4.63544750214,14881.3333333,8,0.125,6.875,2164.55757576
Mercedes-Benz,C-Class,2010,100.0,5,3,3,2015-03-24 17:44:12,Belleville,NJ,6.43063688278,21859.6666667,64,0.046875,4.6875,4663.39555556
BMW,X1,2015,185.0,None,0,1,2015-04-14 22:55:37,Union City,NJ,3.39625453949,27855.6666667,43,0.0232558139535,4.3023255814,6474.56036036
Honda,Accord,2011,55.0,4.7692,13,19,2014-06-14 12:23:54,WNY,NJ,5.14497327805,16504.6190476,347,0.0547550432277,3.01152737752,5480.48115744
Jeep,Wrangler,2012,59.0,5,5,10,2014-11-09 19:39:57,Bayonne,NJ,5.87332344055,23556.1428571,199,0.0502512562814,2.9648241206,7945.20750605
Jeep,Wrangler,2014,99.0,5,1,3,2014-08-09 11:52:43,West New York,NJ,4.96189308167,24922.1428571,291,0.0103092783505,1.0206185567,24418.6652237
Honda,Pilot,2012,95.0,None,0,1,2014-10-25 13:35:35,Cliffside Park,NJ,8.49966812134,26232.5,214,0.00467289719626,0.443925233645,59092.1578947
Jeep,Grand Cherokee,2008,72.0,5,2,2,2015-04-11 16:48:39,Weehawken,NJ,4.91434335709,17176.8571429,46,0.0434782608696,3.13043478261,5487.0515873
Volkswagen,Passat,2003,45.0,5,5,12,2014-11-02 13:45:46,Cliffside Park,NJ,8.46834087372,5003.18181818,206,0.0582524271845,2.6213592233,1908.62121212
Volkswagen,Jetta,2015,59.0,5,2,3,2014-10-26 11:19:17,Weehawken,NJ,4.91666173935,20353.90625,213,0.0140845070423,0.830985915493,24493.6837924
Subaru,BRZ,2013,155.0,5,2,2,2014-06-23 17:57:33,north bergen,NJ,6.27691268921,20398.75,338,0.00591715976331,0.917159763314,22241.2177419
Nissan,Altima,2014,66.0,5,7,9,2015-02-11 15:44:08,Cliffside Park,NJ,8.07218456268,18502.7142857,105,0.0857142857143,5.65714285714,3270.68181818
Honda,CR-V,2012,72.0,4.9167,24,36,2014-07-27 08:53:05,Cliffside Park,NJ,8.08261394501,22809.7,304,0.118421052632,8.52631578947,2675.2117284
Mercedes-Benz,GLK-Class,2014,140.0,5,10,16,2014-03-10 10:37:58,West New York,NJ,4.94828653336,29122.6666667,443,0.0361173814898,5.05643340858,5759.52738095
Jaguar,X-Type,2004,40.0,5,6,19,2014-07-22 23:00:40,Weehawken,NJ,4.58197259903,6082.5,309,0.0614886731392,2.45954692557,2473.01644737
BMW,3 Series,2009,80.0,4.6667,12,25,2014-01-15 13:31:39,WNY,NJ,5.09250020981,17679.7692308,497,0.0503018108652,4.02414486922,4393.42265385
Dodge,Challenger,2014,90.0,5,3,4,2014-12-07 00:33:20,Elizabeth ,NJ,8.74371528625,27951.75,171,0.0233918128655,2.10526315789,13277.08125
Honda,Accord,2011,45.0,None,0,0,2015-05-19 12:19:26,Bayonne,NJ,3.55220580101,16504.6190476,8,0.0,0.0,None
Dodge,Challenger,2014,120.0,4.8333,6,9,2014-11-17 17:19:09,Elizabeth,NJ,8.78757667542,27951.75,191,0.0471204188482,5.65445026178,4943.31875
Porsche,Boxster,2013,250.0,None,0,0,2015-05-25 01:42:47,Hoboken,NJ,3.03926110268,39691.5,2,0.0,0.0,None
Land Rover,Range Rover Sport,2010,160.0,None,0,0,2015-05-20 12:56:47,Weehawken,NJ,4.42687654495,36812.0,7,0.0,0.0,None
